Date,Price
,
     18 Jan 2022,169443
     19 Jan 2022,38390
     20 Jan 2022,23914
     21 Jan 2022,10612
     23 Jan 2022,15025
     24 Jan 2022,40239
     25 Jan 2022,22118
     26 Jan 2022,37734
     27 Jan 2022,5750
     28 Jan 2022,19650
     30 Jan 2022,12800
     31 Jan 2022,5650
     01 Feb 2022,11375
     02 Feb 2022,4000
     06 Feb 2022,4072
     09 Feb 2022,12376
     10 Feb 2022,27257
     11 Feb 2022,33898
     12 Feb 2022,7090
     14 Feb 2022,90954
     18 Feb 2022,33950
     20 Feb 2022,18950
     24 Feb 2022,11000
     25 Feb 2022,3200
     27 Feb 2022,2000
     03 Mar 2022,87625
     06 Mar 2022,7700
     08 Mar 2022,58195
     09 Mar 2022,5870
     11 Mar 2022,10937
     15 Mar 2022,36928
     16 Mar 2022,127680
     19 Mar 2022,24869
     20 Mar 2022,43170
     21 Mar 2022,37499
     23 Mar 2022,17440
     24 Mar 2022,14560
     25 Mar 2022,17275
     28 Mar 2022,31575
     29 Mar 2022,15800
     30 Mar 2022,10700
     31 Mar 2022,13000
     01 Apr 2022,5100
     03 Apr 2022,37300
     04 Apr 2022,42500
     05 Apr 2022,13200
     06 Apr 2022,7525
     07 Apr 2022,525
     11 Apr 2022,47351
     12 Apr 2022,69526
     15 Apr 2022,134916
     17 Apr 2022,39871
     18 Apr 2022,32983
     20 Apr 2022,85979
     21 Apr 2022,18112
     22 Apr 2022,12398
     24 Apr 2022,61713
     26 Apr 2022,83714
     27 Apr 2022,1537
     28 Apr 2022,13200
     29 Apr 2022,13200
     01 May 2022,1370
     02 May 2022,61825
     03 May 2022,6180
     04 May 2022,16700
     05 May 2022,50380
     06 May 2022,1318200
     07 May 2022,24680
     08 May 2022,40750
     10 May 2022,36760
     14 May 2022,70500
     15 May 2022,57525
     16 May 2022,61660
     17 May 2022,16240
     18 May 2022,16299
     19 May 2022,93480
     20 May 2022,13561
     21 May 2022,65052
     25 May 2022,349824
     26 May 2022,130100
     27 May 2022,30400
     29 May 2022,52575
     30 May 2022,55350
     31 May 2022,50775
     03 Jun 2022,91865
     04 Jun 2022,12190
     05 Jun 2022,78825
     06 Jun 2022,37375
     07 Jun 2022,37300
     08 Jun 2022,9090
     09 Jun 2022,32345
     10 Jun 2022,18350
     12 Jun 2022,10040
     13 Jun 2022,531053
     14 Jun 2022,47042
     15 Jun 2022,96332
     16 Jun 2022,76144
     17 Jun 2022,135724
     19 Jun 2022,88125
     20 Jun 2022,89676
     21 Jun 2022,55779
     22 Jun 2022,34090
     23 Jun 2022,38782
     24 Jun 2022,16937
     26 Jun 2022,24675
     27 Jun 2022,28540
     28 Jun 2022,14678
     29 Jun 2022,47795
     30 Jun 2022,4755
     01 Jul 2022,60608
     04 Jul 2022,2500
     05 Jul 2022,115247
     07 Jul 2022,18500
     09 Jul 2022,1000
     10 Jul 2022,22500
     11 Jul 2022,13140
     12 Jul 2022,4565
     13 Jul 2022,2870
     14 Jul 2022,1600
     15 Jul 2022,10880
     19 Jul 2022,32645
     20 Jul 2022,11615
     21 Jul 2022,4925
     22 Jul 2022,20000
     25 Jul 2022,156014
     26 Jul 2022,41746
     27 Jul 2022,6314
     28 Jul 2022,20511
     29 Jul 2022,67732
     01 Aug 2022,229152
     04 Aug 2022,68729
     05 Aug 2022,3840
     09 Aug 2022,113720
     10 Aug 2022,3565
     11 Aug 2022,43475
     12 Aug 2022,22500
     14 Aug 2022,18125
     15 Aug 2022,14022
     16 Aug 2022,63223
     17 Aug 2022,17
     18 Aug 2022,98465
     22 Aug 2022,119683
     24 Aug 2022,34651
     26 Aug 2022,2250
     27 Aug 2022,41600
     28 Aug 2022,5165
     29 Aug 2022,1050
     30 Aug 2022,1000
     01 Sep 2022,1315
     02 Sep 2022,690
     05 Sep 2022,7075
     06 Sep 2022,1430000
     07 Sep 2022,7875
     08 Sep 2022,4250
     09 Sep 2022,15675
     12 Sep 2022,575
     13 Sep 2022,3675
     14 Sep 2022,43580
     16 Sep 2022,100712
     17 Sep 2022,2500
     18 Sep 2022,65027
     19 Sep 2022,7958
